"","lang","nativeCountryArea","complexity","logpop2","lat","lon","missing","propPresent","complexityCentered"
"1","Vietnamese","Asia",-15,7.82891,10.5,106.5,2,0.91667,-0.68182
"2","Yoruba","Africa",-14,7.28616,8,4.33,2,0.91667,-0.63636
"3","English","Europe",-14,8.49045,52,0,0,1,-0.58333
"4","Oromo (Harar)","Africa",-13,6.65571,9,42,1,0.95833,-0.56522
"5","Khmer","Asia",-13,7.12309,12.5,105,6,0.75,-0.72222
"6","Thai","Asia",-13,7.306,16,101,5,0.79167,-0.68421
"7","Maori","Australia and Oceania",-13,4.69897,-40,176,3,0.875,-0.61905
"8","German","Europe",-13,7.97952,52,10,0,1,-0.54167
"9","Ewe","Africa",-12,6.4931,6.33,0.42,2,0.91667,-0.54545
"10","Khmu	Asia	-12	5.68101	21.00	102.00	7	0.70833	-0.70588
French	Europe	-12	7.81197	48.00	2.00	0	1.00000	-0.50000
Latvian	Europe	-12	6.18860	57.00	24.00	3	0.87500	-0.57143
Spanish	Europe	-12	8.50826	40.00	-4.00	0	1.00000	-0.50000
Ndyuka	South America	-12	4.34506	5.00	-54.50	5	0.79167	-0.63158
Rapanui	South America	-12	3.53046	-27.00	-109.00	3	0.87500	-0.57143
Diola-Fogny	Africa	-11	5.55422	13.00	-16.00	4	0.83333	-0.55000
Ju|hoan","Africa",-11,3.69897,-19,21,5,0.79167,-0.57895
"11","Kera","Africa",-11,4.70349,9.83,15.08,5,0.79167,-0.57895
"12","Krongo","Africa",-11,4.33622,10.5,30,0,1,-0.45833
"13","Supyire","Africa",-11,5.5611,11.5,-5.58,2,0.91667,-0.5
"14","Bawm","Asia",-11,4.13966,22.5,92.25,5,0.79167,-0.57895
"15","Burmese","Asia",-11,7.50922,21,96,4,0.83333,-0.55
"16","Hmong Njua","Asia",-11,6.11079,28,105,6,0.75,-0.61111
"17","Indonesian","Asia",-11,7.36443,0,106,2,0.91667,-0.5
"18","Tukang Besi","Asia",-11,5.11394,-5.5,123.5,4,0.83333,-0.55
"19","Drehu","Australia and Oceania",-11,4.05454,-21,167.25,7,0.70833,-0.64706
"20","Russian","Eurasia",-11,8.16146,56,38,1,0.95833,-0.47826
"21","Yukaghir (Kolyma)","Eurasia",-11,1.69897,65.75,150.83,1,0.95833,-0.47826
"22","Greek (Modern)","Europe",-11,7.08844,39,22,0,1,-0.45833
