ISO,pho,con,son,obs,vow,mon,qua,ton,fam,genus,geoLat,geoLong,pop,logPop
fij,30,19,11,8,11,5,5,0,anes,Oceanic,-18:0,178:20:00,330000,5.51851394
fil,27,17,7,10,10,10,5,0,anes,,,,2.50E+07,7.397940009
fin,42,25,9,16,17,17,9,0,urlc,Finnic,64:00:00,27:00:00,4700000,6.672097858
flr,35,25,12,13,10,10,5,0,ncon,,#VALUE!,29:00:00,3.00E+05,5.477121255
fmp,25,17,8,9,8,8,8,0,ncon,Bantoid,5:10,10:10,124000,5.093421685
fon,42,24,7,17,14,14,7,4,ncon,Kwa,7:15,2:05,1400000,6.146128036
fra,40,23,10,13,17,17,12,0,ieur,Romance,48:00:00,2:00,53200000,7.725911632
frr,42,23,8,15,19,13,7,0,ieur,Germanic,54:30:00,9:00,10000,4
fub,37,27,12,15,10,10,5,0,ncon,Northern Atlantic,7:00,13:30,669000,5.825426118
fuc,38,28,12,16,10,10,5,0,ncon,Northern Atlantic,15:00,-14:0,2740000,6.437750563
fuf,38,28,12,16,10,10,5,0,ncon,Northern Atlantic,9:35,#VALUE!,2550000,6.40654018
fuh,32,27,12,15,5,5,5,0,ncon,Northern Atlantic,14:00,2:00,450000,5.653212514
