language,WALS code,Family,Lat,Long,normalized.vowel.diversity,normalized.consonant.diversity,normalized.tone.diversity,normalized.phoneme.diversity,ISO,Popn,distance.from.origin
Khmu',kmu,Austro-Asiatic,21,102,1.3900889,0.12048546,0.54663194,0.685735432,kjg,479739,11236.83
Kannada,knd,Dravidian,14,76,-0.4846364,0.12048546,-0.7687792,-0.377643382,kan,35346000,9081.292
Kaingang,kng,Macro-Ge,-26,-52,1.3900889,-1.5544112,-0.7687792,-0.311033824,kgp,18000,27315.15
Kanakuru,knk,Afro-Asiatic,10,12,-0.4846364,0.9579338,0.54663194,0.33997643,kna,20000,1280.38
Kunama,knm,Nilo-Saharan,14.5,37,-0.4846364,0.12048546,0.54663194,0.060826985,kun,108883,3494.943
Kanuri,knr,Nilo-Saharan,12,13,1.3900889,0.9579338,0.54663194,0.964884878,knc,3425138,1522.249
Koasati,koa,Muskogean,34.83,-85.17,-1.2345266,-1.5544112,1.86204304,-0.308964919,cku,200,19617.2
Kobon,kob,Trans-New Guinea,-5.17,144.33,1.3900889,0.12048546,-0.7687792,0.247265066,kpw,6000,16715.23
Kohumono,koh,Niger-Congo,6,8.12,1.3900889,0.9579338,1.86204304,1.403355244,bcs,30000,820.0783
Koiari,koi,Trans-New Guinea,-9.5,147.33,-0.4846364,-1.5544112,0.54663194,-0.497471906,kbk,1700,17215.53
Komo,kom,Nilo-Saharan,8.75,33.75,1.3900889,0.12048546,1.86204304,1.124205799,xom,11500,2906.295
Korean,kor,Korean,37.5,128,1.3900889,0.12048546,-0.7687792,0.247265066,kor,67019690,12738.18
Kota,kot,Dravidian,11.5,77.17,-0.4846364,0.12048546,-0.7687792,-0.377643382,kfe,2000,9329.268
Koya,koy,Dravidian,17.5,81.33,-0.4846364,0.12048546,-0.7687792,-0.377643382,kff,330000,9414.456
Kpan,kpa,Niger-Congo,7.58,10.17,-0.4846364,0.12048546,1.86204304,0.499297351,kpk,11386,984.0412
Kpelle,kpe,Niger-Congo,7,-10,1.3900889,0.12048546,1.86204304,1.124205799,xpe,487400,2348.62
Kiribati,krb,Austronesian,1.33,173,-0.4846364,-1.5544112,-0.7687792,-0.935942272,gil,67790,19566.19
Kurdish (Central),krd,Indo-European,36,44,1.3900889,0.9579338,-0.7687792,0.526414511,kmr,9113505,5534.577
Karok,krk,Karok,41.67,-123,-0.4846364,0.9579338,0.54663194,0.33997643,kyh,10,17277.92
Krongo,kro,Kadugli,10.5,30,1.3900889,0.12048546,0.54663194,0.685735432,kgo,21688,2615.703
Koryak,kry,Chukotko-Kamchatkan,61,167,-0.4846364,-0.7169629,-0.7687792,-0.656792827,kpy,3500,13290.66
Karen (Sgaw),ksg,Sino-Tibetan,18,97,1.3900889,-0.7169629,1.86204304,0.845056353,ksw,1584700,10897.79
Kisi (Southern),kss,Niger-Congo,8.5,-10.25,1.3900889,-0.7169629,0.54663194,0.406585987,kss,200000,2441.211
Kotoko,ktk,Afro-Asiatic,11.33,15.33,1.3900889,0.9579338,0.54663194,0.964884878,aal,30000,1539.169
Khanty,kty,Uralic,65,65,-0.4846364,-0.7169629,-0.7687792,-0.656792827,kca,12000,8691.389
Kullo,kul,Afro-Asiatic,6.75,37.08,-0.4846364,0.12048546,0.54663194,0.060826985,gmo,1236637,3185.289
Kuna,kun,Chibchan,8,-77.33,-0.4846364,-0.7169629,-0.7687792,-0.656792827,kvn,1576,22658.89
Kutenai,kut,Kutenai,49.5,-116,-1.2345266,0.9579338,-0.7687792,-0.348457316,kut,12,16871.28
Kwaio,kwa,Austronesian,-8.95,161,-0.4846364,-0.7169629,-0.7687792,-0.656792827,kwd,13249,18580.83
Kwakw'ala,kwk,Wakashan,51,-127,-0.4846364,1.79538213,-0.7687792,0.180655509,kwk,235,16250.85
Kawaiisu,kws,Uto-Aztecan,36,-117.5,-0.4846364,0.12048546,-0.7687792,-0.377643382,xaw,8,18060.71
Kuku-Yalanji,kya,Australian,-16,145,-1.2345266,-1.5544112,-0.7687792,-1.185905651,gvn,700,17344.53
Kayah Li (Eastern),kyl,Sino-Tibetan,19,97.5,1.3900889,-0.7169629,1.86204304,0.845056353,eky,360220,10899.36
Kam (Zhanglu),kzh,Tai-Kadai,26,108.5,1.3900889,0.12048546,1.86204304,1.124205799,doc,463000,11620.07
Komi-Zyrian,kzy,Uralic,65,55,1.3900889,0.9579338,-0.7687792,0.526414511,kpv,262200,8381.375
Ladakhi,lad,Sino-Tibetan,34,78,-0.4846364,0.9579338,-0.7687792,-0.098493936,lbj,114000,8566.608
Lahu,lah,Sino-Tibetan,20,98.17,1.3900889,0.9579338,1.86204304,1.403355244,lhu,577178,10917.85
Lak,lak,Nakh-Daghestanian,42.17,47.17,-1.2345266,1.79538213,-0.7687792,-0.06930787,lbe,119512,6131.37
Lam??,lam,Afro-Asiatic,9,14.5,-0.4846364,0.9579338,1.86204304,0.778446796,lme,35720,1266.441
Lango,lan,Nilo-Saharan,2.17,33,1.3900889,0.9579338,0.54663194,0.964884878,laj,977680,2638.481
Latvian,lat,Indo-European,57,24,-0.4846364,-0.7169629,0.54663194,-0.218322461,lav,1543844,7202.816
Lavukaleve,lav,Lavukaleve,-9.08,159.2,-0.4846364,0.9579338,-0.7687792,-0.098493936,lvk,1783,18399.45
Lenakel,len,Austronesian,-19.45,169.25,-0.4846364,-0.7169629,-0.7687792,-0.656792827,tnl,6500,19815.13
Lezgian,lez,Nakh-Daghestanian,41.67,47.83,-0.4846364,1.79538213,-0.7687792,0.180655509,lez,451112,6142.042
Lakkia,lkk,Tai-Kadai,24.08,110.17,-0.4846364,1.79538213,1.86204304,1.057596241,lbc,12000,11860.59
Lakhota,lkt,Siouan,43.83,-101.83,-0.4846364,0.9579338,-0.7687792,-0.098493936,lkt,6000,18018.4
Lelemi,llm,Niger-Congo,7.33,0.5,1.3900889,0.12048546,0.54663194,0.685735432,lef,48900,1380.082
L?_,lu,Tai-Kadai,22,100.67,1.3900889,0.12048546,1.86204304,1.124205799,khb,672064,11066.23
Lua,lua,Niger-Congo,9.75,17.75,1.3900889,0.12048546,1.86204304,1.124205799,nie,5157,1525.6
Lugbara,lug,Nilo-Saharan,3.08,30.92,1.3900889,0.9579338,1.86204304,1.403355244,lgg,1040000,2427.589
Luise??o,lui,Uto-Aztecan,33.33,-117.17,-0.4846364,0.12048546,-0.7687792,-0.377643382,lui,30,18337.04
Luo,luo,Nilo-Saharan,-0.5,34.75,1.3900889,0.12048546,0.54663194,0.685735432,luo,3465000,2806.794
Lushootseed,lus,Salishan,48,-122,-1.2345266,1.79538213,-0.7687792,-0.06930787,lut,60,16735.08
Luvale,luv,Niger-Congo,-12,22,-0.4846364,-0.7169629,0.54663194,-0.218322461,lue,669000,1823.445
Maasai,maa,Nilo-Saharan,-3,36,1.3900889,0.12048546,0.54663194,0.685735432,mas,883000,2949.057
Maba,mab,Nilo-Saharan,13.75,20.83,1.3900889,0.12048546,0.54663194,0.685735432,mde,250000,2082.197
Malagasy,mal,Austronesian,-20,47,-1.2345266,0.12048546,-0.7687792,-0.627606761,plt,5948700,19232.24
Maori,mao,Austronesian,-40,176,-0.4846364,-1.5544112,-0.7687792,-0.935942272,mri,50000,21248.63
Mapudungun,map,Araucanian,-38,-72,-0.4846364,0.12048546,-0.7687792,-0.377643382,arn,300000,27783.66
Maricopa,mar,Hokan,33.17,-113.17,-0.4846364,0.12048546,-0.7687792,-0.377643382,mrc,181,18525.07
Maung,mau,Australian,-11.92,133.5,-0.4846364,-0.7169629,-0.7687792,-0.656792827,mph,200,16071.17
Maxakal??,max,Macro-Ge,-18,-40,-0.4846364,-1.5544112,-0.7687792,-0.935942272,mbl,728,27667.17
Maybrat,may,West Papuan,-1.33,132.5,-0.4846364,-1.5544112,-0.7687792,-0.935942272,ayz,20000,15344.28
Mazahua,maz,Oto-Manguean,19.42,-99.92,-1.2345266,1.79538213,0.54663194,0.369162496,maz mmc,365000,20477.8
Mba,mba,Niger-Congo,1,25,1.3900889,0.12048546,1.86204304,1.124205799,mfc,36087,1740.378
Meithei,mei,Sino-Tibetan,24.75,94,-0.4846364,0.9579338,0.54663194,0.33997643,mni,1261000,10321.07
Mangghuer,mgg,Altaic,36,102,-0.4846364,0.12048546,-0.7687792,-0.377643382,mjg,152000,10658.02
Mien,mie,Hmong-Mien,25,111,1.3900889,0.9579338,1.86204304,1.403355244,ium,818685,11894.33
Maranungku,mku,Australian,-13.67,130,-0.4846364,-1.5544112,-0.7687792,-0.935942272,zmr,15,15915.16
Mambila,mla,Niger-Congo,6.75,11.5,1.3900889,0.12048546,1.86204304,1.124205799,mcu mzk,129000,916.2551
Malakmalak,mlk,Australian,-13.42,130.42,-0.4846364,-1.5544112,-0.7687792,-0.935942272,mpb,9,15928.6
Mandarin,mnd,Sino-Tibetan,34,110,-0.4846364,0.9579338,1.86204304,0.778446796,cmn,873014298,11418.85
Maidu (Northeast),mne,Penutian,40,-120.67,-0.4846364,-0.7169629,-0.7687792,-0.656792827,nmu,1,17537.29
Moghol,mog,Altaic,35,62,-0.4846364,0.12048546,-0.7687792,-0.377643382,mhj,200,7099.201
Mor,mor,Austronesian,-2.95,135.75,-0.4846364,-1.5544112,0.54663194,-0.497471906,mhz,700,15747.56
Movima,mov,Movima,-13.83,-65.67,-0.4846364,-0.7169629,-0.7687792,-0.656792827,mzp,1452,25394.71
Murrinh-Patha,mpa,Australian,-14.67,129.67,-1.2345266,0.12048546,-0.7687792,-0.627606761,mwf,900,15968.52
Marind,mrd,Marind,-7.83,140.17,-0.4846364,-0.7169629,-0.7687792,-0.656792827,mrz,7000,16430.57
Murle,mrl,Nilo-Saharan,6.5,33.5,1.3900889,0.12048546,0.54663194,0.685735432,mur,60200,2797.952
Maranao,mrn,Austronesian,7.83,124.25,-1.2345266,-1.5544112,-0.7687792,-1.185905651,mrw,776169,14136.36
Moro,mro,Niger-Congo,11,30.17,1.3900889,0.12048546,0.54663194,0.685735432,mor,30000,2658.971
Martuthunira,mrt,Australian,-20.83,116.5,-1.2345266,0.12048546,-0.7687792,-0.627606761,vma,5,15795.13
Miwok (Southern Sierra),mss,Penutian,37.5,-120,-0.4846364,-0.7169629,-0.7687792,-0.656792827,skd,7,17807.63
Mixe (Totontepec),mtp,Mixe-Zoque,17.25,-96,1.3900889,-1.5544112,-0.7687792,-0.311033824,mto,5200,20871.34
Muinane,mui,Huitotoan,-1,-72.5,-0.4846364,0.12048546,0.54663194,0.060826985,bmr,150,23783.5
Mumuye,mum,Niger-Congo,9,11.67,-0.4846364,0.12048546,1.86204304,0.499297351,mzm,400000,1164.097
Mundari,mun,Austro-Asiatic,23,84.67,-0.4846364,0.9579338,-0.7687792,-0.098493936,muw,2074700,9500.179
Mixtec (Chalcatongo),mxc,Oto-Manguean,17.05,-97.58,-0.4846364,-0.7169629,1.86204304,0.220147906,mig,14453,20820.82
Mixtec (Molinos),mxm,Oto-Manguean,17,-97.58,-0.4846364,-0.7169629,1.86204304,0.220147906,mig,14453,20825.86
Ma'ya,mya,Austronesian,-1.25,130.92,-0.4846364,-1.5544112,1.86204304,-0.05900154,slz,4000,15183.16
Mangarrayi,myi,Australian,-14.67,133.5,-0.4846364,-0.7169629,-0.7687792,-0.656792827,mpc,50,16267.45
Mazatec (Chiquihuitl??n),mzc,Oto-Manguean,17.75,-96.92,-0.4846364,0.12048546,1.86204304,0.499297351,maq,2500,20779.78
Nanai,nai,Altaic,49.5,137,-0.4846364,-0.7169629,-0.7687792,-0.656792827,gld,5772,12708.62
Nandi,nan,Nilo-Saharan,0.25,35,1.3900889,-1.5544112,0.54663194,0.127436542,kln,2458123,2838.398
Neo-Aramaic (Persian Azernbaapijan),nap,Afro-Asiatic,38,47,-0.4846364,0.12048546,-0.7687792,-0.377643382,trg,4378,5871.083
Nara (in Ethiopia),nar,Nilo-Saharan,15.08,37.58,-0.4846364,-0.7169629,0.54663194,-0.218322461,nrb,80000,3580.178
Navajo,nav,Na-Dene,36.17,-108,-1.2345266,0.9579338,0.54663194,0.090013051,nav,148530,18461.67
Naxi,nax,Sino-Tibetan,27.5,100,1.3900889,1.79538213,1.86204304,1.682504689,nbf,308839,10775.54
Ndut,ndt,Niger-Congo,14.92,-16.92,1.3900889,0.9579338,1.86204304,1.403355244,ndv,35000,3415.417
Nenets,nen,Uralic,69,72,-0.4846364,0.9579338,-0.7687792,-0.098493936,yrk,26730,9208.659
Nepali,nep,Indo-European,28,85,-0.4846364,0.9579338,-0.7687792,-0.098493936,nep,17209255,9357.227
Newari (Kathmandu),new,Sino-Tibetan,27.67,85.5,-1.2345266,0.12048546,-0.7687792,-0.627606761,new,825458,9414.689
Nez Perce,nez,Penutian,46,-116,-0.4846364,0.9579338,-0.7687792,-0.098493936,nez,100,17181.91
Nganasan,nga,Uralic,71,93,1.3900889,-0.7169629,-0.7687792,-0.031884379,nio,500,10016.63
Ngizim,ngz,Afro-Asiatic,12.08,10.92,-0.4846364,0.9579338,0.54663194,0.33997643,ngi,80000,1489.566
Nahuatl (North Puebla),nhn,Uto-Aztecan,20,-98.25,-1.2345266,-0.7169629,-0.7687792,-0.906756206,ncj,60000,20494.01
Nahuatl (Tetelcingo),nht,Uto-Aztecan,19.67,-99,-0.4846364,-0.7169629,-0.7687792,-0.656792827,nhg,3500,20493.66
Nishi,nis,Sino-Tibetan,27.5,93.5,1.3900889,-0.7169629,0.54663194,0.406585987,dap,261000,10171.56
Nivkh,niv,Nivkh,53.33,142,-0.4846364,0.9579338,0.54663194,0.33997643,niv,1089,12770.47
Nkore-Kiga,nko,Niger-Congo,-0.92,29.83,-0.4846364,0.12048546,0.54663194,0.060826985,cgg,1391442,2259.059
Nyah Kur (Tha Pong),nkt,Austro-Asiatic,15.67,101.67,1.3900889,0.9579338,0.54663194,0.964884878,cbn,10000,11457.57
Nambiku??ra,nmb,Nambikuaran,-13,-59,-0.4846364,0.9579338,1.86204304,0.778446796,nab,1150,25741.21
Nancowry,nnc,Austro-Asiatic,8.05,93.5,1.3900889,-0.7169629,-0.7687792,-0.031884379,ncb,2200,11068.46
Nobiin,nob,Nilo-Saharan,21,31,-0.4846364,-0.7169629,0.54663194,-0.218322461,fia,495000,3402.265
Noni,non,Niger-Congo,6.42,10.58,1.3900889,0.12048546,1.86204304,1.124205799,nhu,25000,860.7081
Norwegian,nor,Indo-European,61,8,1.3900889,0.12048546,0.54663194,0.685735432,nor,4640000,8027.009
Ngiti,nti,Nilo-Saharan,1.33,30.25,1.3900889,1.79538213,1.86204304,1.682504689,niy,100000,2323.407
Nunggubuyu,nug,Australian,-13.75,135.67,-1.2345266,0.12048546,-0.7687792,-0.627606761,nuy,300,16381.74
Nung (in Vietnam),nun,Tai-Kadai,21.92,106.42,-0.4846364,0.12048546,1.86204304,0.499297351,nut,856412,11611.48
Nuuchahnulth,nuu,Wakashan,49.67,-126.67,-1.2345266,1.79538213,-0.7687792,-0.06930787,noo,200,16381.58
Nyimang,nyi,Nilo-Saharan,12.17,29.33,1.3900889,-0.7169629,1.86204304,0.845056353,nyi,70000,2648.169
Ocaina,oca,Huitotoan,-2.75,-71.75,-0.4846364,0.9579338,0.54663194,0.33997643,oca,66,23994.17
Ogbia,ogb,Niger-Congo,4.67,6.25,1.3900889,0.12048546,0.54663194,0.685735432,ogb,200000,750.3215
Ojibwa (Eastern),oji,Algic,46,-80,-1.2345266,-0.7169629,-0.7687792,-0.906756206,ojg,25885,18773.89
Oneida,ond,Iroquoian,43,-75.67,-1.2345266,0.9579338,0.54663194,0.090013051,one,250,19237.46
O'odham,ood,Uto-Aztecan,32,-112,-0.4846364,0.12048546,-0.7687792,-0.377643382,ood,11819,18691.13
Oromo (Harar),orh,Afro-Asiatic,9,42,-0.4846364,0.9579338,1.86204304,0.778446796,hae,4526000,3774.159
Ormuri,orm,Indo-European,32.5,69.75,-0.4846364,-1.5544112,-0.7687792,-0.935942272,oru,1050,7825.179
Otom??  (Mezquital),otm,Oto-Manguean,20.17,-99.17,1.3900889,0.12048546,0.54663194,0.685735432,ote,100000,20435.83
Pacoh,pac,Austro-Asiatic,16.42,107.08,1.3900889,-0.7169629,-0.7687792,-0.031884379,pac,29224,11937.9
P??ez,pae,P??ezan,2.67,-76,-1.2345266,1.79538213,-0.7687792,-0.06930787,pbb,71400,23255.28
Paiwan,pai,Austronesian,22.5,120.83,-1.2345266,0.12048546,-0.7687792,-0.627606761,pwn,66084,12913.47
Paumar??,pau,Arauan,-6,-64,-1.2345266,0.12048546,-0.7687792,-0.627606761,pad,700,24798.66
Pawaian,paw,Teberan-Pawaian,-7,145.08,-0.4846364,-0.7169629,0.54663194,-0.218322461,pwa,4000,16873.52
Pech,pec,Chibchan,15,-85.5,-0.4846364,0.9579338,0.54663194,0.33997643,pay,994,21571.42
Phlong,phl,Sino-Tibetan,15,99,-0.4846364,-1.5544112,1.86204304,-0.05900154,pww,60000,11234.22
Pitjantjatjara,pit,Australian,-26,130,-1.2345266,0.12048546,-0.7687792,-0.627606761,pjt,2500,16956.14
Paamese,pms,Austronesian,-16.5,168.25,-0.4846364,-0.7169629,-0.7687792,-0.656792827,pma,6000,19602.77
Panare,pnr,Cariban,6.5,-66,1.3900889,-1.5544112,-0.7687792,-0.311033824,pbh,1200,23918.74
Po-Ai,poa,Austronesian,-20.67,164.83,1.3900889,-0.7169629,1.86204304,0.845056353,fwa,1131,19436.81
Pohnpeian,poh,Austronesian,6.88,158.25,1.3900889,-1.5544112,-0.7687792,-0.311033824,pon,29000,17845.57
Polish,pol,Indo-European,52,20,-0.4846364,0.9579338,-0.7687792,-0.098493936,pol,42708133,6789.507
Pirah??,prh,Mura,-7,-62,-1.2345266,-0.7169629,0.54663194,-0.46828584,myp,150,25033.52
Persian,prs,Indo-European,32,54,-0.4846364,0.12048546,-0.7687792,-0.377643382,pes,24316121,6351.344
Pashto,psh,Indo-European,33,67,-0.4846364,0.9579338,-0.7687792,-0.098493936,pst,7922657,7564.181
Passamaquoddy-Maliseet,psm,Algic,45,-67,-0.4846364,-0.7169629,0.54663194,-0.218322461,pqm,1655,19389.8
Parauk,puk,Austro-Asiatic,23.25,99.5,1.3900889,0.9579338,-0.7687792,0.526414511,prk,528400,10901.56
Pur??pecha,pur,Tarascan,19.5,-101.67,-0.4846364,0.9579338,-0.7687792,-0.098493936,tsz,120000,20392.09
Qawasqar,qaw,Alacalufan,-49,-75,-1.2345266,0.9579338,-0.7687792,-0.348457316,alc,20,28979.01
Quechua (Cochabamba),qco,Quechuan,-17.5,-66,-0.4846364,0.9579338,-0.7687792,-0.098493936,quh,3637500,25742.48
Quileute,qui,Chimakuan,47.92,-124.25,-1.2345266,0.9579338,0.54663194,0.090013051,qui,10,16643.32
Rama,ram,Chibchan,11.75,-83.75,-1.2345266,-0.7169629,-0.7687792,-0.906756206,rma,24,21978.58
Rapanui,rap,Austronesian,-27.12,-109.37,-0.4846364,-1.5544112,-0.7687792,-0.935942272,rap,3392,28010.45
Res??garo,res,Arawakan,-2.42,-71.5,-0.4846364,0.9579338,0.54663194,0.33997643,rgr,14,23975.49
Romanian,rom,Indo-European,46,25,1.3900889,0.12048546,-0.7687792,0.247265066,ron,23498367,6031.231
Roro,ror,Austronesian,-8.75,146.58,-0.4846364,-1.5544112,-0.7687792,-0.935942272,rro,15000,17105.38
Romansch (Scharans),rsc,Indo-European,46.75,9.5,-0.4846364,0.12048546,-0.7687792,-0.377643382,roh,40000,7071.052
Rotokas,rtk,West Bougainville,-6,155.17,-0.4846364,-1.5544112,-0.7687792,-0.935942272,roo,4320,17866.34
Rukai,ruk,Austronesian,22.83,120.83,-1.2345266,0.12048546,-0.7687792,-0.627606761,dru,10543,12896.25
Russian,rus,Indo-European,56,38,-0.4846364,0.9579338,-0.7687792,-0.098493936,rus,145031551,7094.689
Rutul,rut,Nakh-Daghestanian,41.5,47.42,-0.4846364,1.79538213,0.54663194,0.619125875,rut,20111,6103.329
Sango,san,Niger-Congo,5,18,1.3900889,0.9579338,0.54663194,0.964884878,sag,404000,1171.636
S??liba (in Colombia),sba,S??liban,6,-70,-0.4846364,0.12048546,-0.7687792,-0.377643382,slc,1555,23496.69
Saami (Central-South),scs,Uralic,64.67,16.75,-0.4846364,1.79538213,-0.7687792,0.180655509,sma,600,8133.627
Sindhi,sdh,Indo-European,26,69,1.3900889,1.79538213,-0.7687792,0.805563957,snd,21362000,7891.445
Sandawe,sdw,Khoisan,-5,35,-0.4846364,1.79538213,0.54663194,0.619125875,sad,40000,2859.423
Sedang,sed,Austro-Asiatic,14.83,108,1.3900889,1.79538213,-0.7687792,0.805563957,sed,101434,12105.63
Selknam,sel,Chon,-53,-70,-1.2345266,0.12048546,-0.7687792,-0.627606761,ona,1,29455.87
Shan,sha,Tai-Kadai,22,98,-0.4846364,0.12048546,1.86204304,0.499297351,shn,3260000,10813.25
Shiriana,shi,Yanomam,3.5,-62.83,-0.4846364,-1.5544112,-0.7687792,-0.935942272,shb,566,24337.07
Shipibo-Konibo,shk,Panoan,-7.5,-75,-1.2345266,-0.7169629,-0.7687792,-0.906756206,shp,26000,24384.75
Shuswap,shu,Salishan,52,-120,-0.4846364,1.79538213,-0.7687792,0.180655509,shs,500,16477.86
Slave,sla,Na-Dene,67,-125,-0.4846364,0.9579338,0.54663194,0.33997643,scs xsl,2200,15291.47
Semelai,sml,Austro-Asiatic,3,103,1.3900889,0.9579338,-0.7687792,0.526414511,sza,2932,12258.61
Seneca,snc,Iroquoian,42.5,-77.5,-0.4846364,-1.5544112,-0.7687792,-0.935942272,see,175,19209.35
Senadi,snd,Niger-Congo,9.5,-6.25,1.3900889,0.12048546,1.86204304,1.124205799,sef,862000,2113.121
Sinhala,snh,Indo-European,7,80.5,1.3900889,0.12048546,-0.7687792,0.247265066,sin,13220256,9903.463
Sanuma,snm,Yanomam,4.5,-64.67,1.3900889,-1.5544112,-0.7687792,-0.311033824,xsu,5074,24109.59
Somali,som,Afro-Asiatic,3,45,1.3900889,0.12048546,0.54663194,0.685735432,som,12653480,3971.735
Soqotri,soq,Afro-Asiatic,12.5,54,-0.4846364,0.9579338,-0.7687792,-0.098493936,sqt,64000,7216.364
Sora,sor,Austro-Asiatic,20,84.33,-0.4846364,0.12048546,-0.7687792,-0.377643382,srb,288000,9590.51
Spanish,spa,Indo-European,40,-4,-0.4846364,0.9579338,-0.7687792,-0.098493936,spa,322299171,8163.111
Squamish,squ,Salishan,49.67,-123.17,-1.2345266,0.9579338,-0.7687792,-0.348457316,squ,15,16535.56
Sre,sre,Austro-Asiatic,11.5,108,1.3900889,-1.5544112,0.54663194,0.127436542,kpm,128723,12277.46
Sirion??,srn,Tupian,-15.58,-64,1.3900889,0.12048546,-0.7687792,0.247265066,srq,399,25652.6
Suena,sue,Trans-New Guinea,-7.75,147.55,-0.4846364,1.79538213,0.54663194,0.619125875,sue,3000,17155.9
Sui,sui,Tai-Kadai,26,107.5,1.3900889,0.12048546,1.86204304,1.124205799,swi,200120,11528.36
Supyire,sup,Niger-Congo,11.5,-5.58,1.3900889,-0.7169629,1.86204304,0.845056353,spp,364000,2186.62
Savosavo,svs,Savosavo,-9.13,159.8,-0.4846364,-0.7169629,-0.7687792,-0.656792827,svs,2415,18463.28
Swahili,swa,Niger-Congo,-6.5,39,-0.4846364,0.9579338,-0.7687792,-0.098493936,swh,772642,3321.007
Taba,tab,Austronesian,0,127.5,-0.4846364,0.12048546,-0.7687792,-0.377643382,mky,20000,14781.94
Tacana,tac,Tacanan,-13.5,-68,-1.2345266,-0.7169629,-0.7687792,-0.906756206,tna,1821,25249.2
Tagalog,tag,Austronesian,15,121,-0.4846364,0.12048546,-0.7687792,-0.377643382,tgl,15900098,13328.44
Tamang,tam,Sino-Tibetan,28,85.25,-0.4846364,0.9579338,0.54663194,0.33997643,taj tge,777234,9380.789
Tehuelche,teh,Chon,-48,-68,-1.2345266,0.9579338,-0.7687792,-0.348457316,teh,4,28932.73
Telugu,tel,Dravidian,16,79,-0.4846364,0.9579338,-0.7687792,-0.098493936,tel,69688278,9263.461
Tera,ter,Afro-Asiatic,11,11.83,-0.4846364,1.79538213,1.86204304,1.057596241,ttr,100620,1385.42
Tigak,tgk,Austronesian,-2.72,150.8,-0.4846364,-1.5544112,-0.7687792,-0.935942272,tgc,6000,17290.46
Tigr??,tgr,Afro-Asiatic,16.5,38.5,-0.4846364,0.9579338,-0.7687792,-0.098493936,tig,800000,3742.01
Thai,tha,Tai-Kadai,16,101,1.3900889,0.12048546,1.86204304,1.124205799,tha,20229987,11377.11
Tibetan (Standard Spoken),tib,Sino-Tibetan,30,91,1.3900889,1.79538213,0.54663194,1.244034323,bod,1261587,9856.141
Ticuna,tic,Ticuna,-4,-70.5,-0.4846364,-0.7169629,1.86204304,0.220147906,tca,41000,24183.02
Tiwi,tiw,Australian,-11.5,131,-1.2345266,0.12048546,-0.7687792,-0.627606761,tiw,1500,15832.01
Teke (Southern),tks,Niger-Congo,-2.33,14.5,1.3900889,0.12048546,0.54663194,0.685735432,kkw,38787,568.1662
Tlingit,tli,Na-Dene,59,-135,-1.2345266,1.79538213,0.54663194,0.369162496,tli,845,15262.57
Tama,tma,Nilo-Saharan,14.5,22,1.3900889,0.12048546,1.86204304,1.124205799,tma,62931,2225.867
Temein,tmn,Nilo-Saharan,11.92,29.42,1.3900889,-0.7169629,0.54663194,0.406585987,teq,10000,2641.431
Tampulma,tmp,Niger-Congo,10.42,-0.58,1.3900889,-1.5544112,0.54663194,0.127436542,tpm,16000,1709.985
Temne,tne,Niger-Congo,8.67,-13.08,1.3900889,-0.7169629,0.54663194,0.406585987,tem,1200000,2732.891
Toaripi,toa,Eleman,-8.33,146.25,-0.4846364,-1.5544112,-0.7687792,-0.935942272,tqo,23000,17052.65
Tarok,tok,Niger-Congo,9,10.08,-0.4846364,0.9579338,1.86204304,0.778446796,yer,300000,1140.841
Tol,tol,Tol,14.67,-87,-0.4846364,0.12048546,-0.7687792,-0.377643382,jic,350,21536.89
Totonac (Papantla),tpa,Totonacan,20.33,-97.33,-1.2345266,-0.7169629,-0.7687792,-0.906756206,top,80000,20502.09
Trumai,tru,Trumai,-11.92,-53.58,-0.4846364,0.12048546,-0.7687792,-0.377643382,tpy,78,26087.73
Tiruray,try,Austronesian,6.75,124.17,-0.4846364,-0.7169629,-0.7687792,-0.656792827,tiy,50000,14156.81
Tausug,tsg,Austronesian,6,121,-1.2345266,0.9579338,-0.7687792,-0.348457316,tsg,1022000,13848.91
Tsimshian (Coast),tsi,Penutian,52.5,-129,-1.2345266,1.79538213,-0.7687792,-0.06930787,tsi,800,16034.73
Tsou,tso,Austronesian,23.5,120.75,-0.4846364,-0.7169629,-0.7687792,-0.656792827,tsu,2127,12854.2
Tetun,ttn,Austronesian,-9,126,-0.4846364,-1.5544112,-0.7687792,-0.935942272,tet,450000,15240.98
Tsova-Tush,ttu,Nakh-Daghestanian,42.5,45.5,-0.4846364,1.79538213,-0.7687792,0.180655509,bbl,3420,6050.101
Tuareg (Ahaggar),tug,Afro-Asiatic,23,6,1.3900889,0.9579338,-0.7687792,0.526414511,thv,62000,2721.271
Tukang Besi,tuk,Austronesian,-5.5,123.5,-0.4846364,0.12048546,-0.7687792,-0.377643382,bhq khc,250000,14773.44
Tulu,tul,Dravidian,12.75,75.33,1.3900889,0.12048546,-0.7687792,0.247265066,tcy,1949000,9086.559
Turkish,tur,Altaic,39,35,1.3900889,0.12048546,-0.7687792,0.247265066,tur,50625794,5218.225
Tuvan,tuv,Altaic,52,95,1.3900889,0.12048546,-0.7687792,0.247265066,tyv,209400,9833.798
Tiwa (Northern),twn,Kiowa-Tanoan,36.5,-105.5,-0.4846364,0.9579338,0.54663194,0.33997643,twf,927,18542.03
