"","ISO","lang.family","lang.genus","native.country","native.country.area","language","lat","lon","area","perimeter","n.neighbors","mean.temp","sum.precip","sd.temp","sd.precip","growing.season","pop_log","morphological.complexity","complexity.bias","p.complexity.bias","mono.complexity.bias","open.complexity.bias","morphological.complexity.ld","propPresent","adjusted.complexity","ratio.L2.L1","scaled.LDT.ZM","scaled.LDT.H","scaled.LDT.TTR","stock","region","n.L1.speakers","n.L2.speakers","TTR.LDT","n.phonemes","n.consonants","n.vowels","n.sonorants","n.obstruents","n.monophthongs","n.qual.monophthongs","n.tones","mean.length","mean.dependency.length","information.density","syllable.rate","information.rate","mean.aoa","normalized.vowel.diversity","normalized.consonant.diversity","normalized.tone.diversity","normalized.phoneme.diversity","distance.from.origin"
"1","cat","Indo-European","Romance","Spain","Europe","catalan",41.75,2,1366457.25,1092920.75,6.5,15.800025,49.822625,17.028375,5.206675,9.75,6.82395,13,0.401667929,0.273216297,0.22001229,0.357893264,-2,0.125,-0.25,0.548541538,-0.309356425,-0.318512138,-0.323328175,"Indo-European","Europe",9115080,5e+06,0.328056769,39,27,12,14,13,8,8,0,3.95033112582781,18.5,NA,NA,NA,4.19231543624161,1.3900889,0.12048546,-0.7687792,0.247265066,7632.806
"2","eng","Indo-European","Germanic","United Kingdom","Europe","english",52,0,60193309.2941176,274119338.764706,26.7647058823529,10.400145,49.67513,7.93249,5.166097,8.210026,8.49045,12,NA,NA,NA,NA,-14,1,-14,1.076683242,-0.284163566,-0.643150224,-0.507225132,"Indo-European","Europe",339004069,3.65e+08,0.304123711,40,27,13,7,20,13,8,0,3.54,20.7,0.91,6.19,1.08,3.92147157190635,1.3900889,0.12048546,-0.7687792,0.247265066,7897.817
"3","fra","Indo-European","Romance","Switzerland","Europe","french",48,2,10563426.375,5717447.125,15.875,10.4703754716981,52.3178867924528,6.95769811320755,5.85321886792453,8.90107735849057,7.81197,17,0.381641634,0.243687546,0.255211702,0.343530815,-12,1,-12,0.910703474,-0.050917209,-0.064920956,-0.288059605,"Indo-European","Europe",88612817,80700000,0.332646756,40,23,17,10,13,17,12,0,3.79,18.7,0.74,7.18,0.99,NA,1.3900889,0.12048546,-0.7687792,0.247265066,7651.918
"4","por","Indo-European","Romance","Portugal","Europe","portuguese",39,-8,9139129,7738523,11,15.7578090909091,54.5903939393939,32.4133939393939,5.32146363636364,7.97979696969697,8.24909,13,0.451696463,0.330577823,0.292785563,0.402134553,-3,0.41667,-1.25001,0.095801172,-0.093618157,-0.003421397,-0.217360371,"Indo-European","Europe",182670000,17500000,0.341847826,38,23,15,10,13,15,7,0,4.3,19.1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","spa","Indo-European","Romance","Spain","Europe","spanish",40,-4,11665306.4444444,10578811.8888889,14.5555555555556,14.7713026315789,35.2508684210526,15.1995263157895,6.88576842105263,6.55263157894737,8.50826,19,0.395886944,0.262181678,0.233440038,0.338645961,-12,1,-12,0.305891109,-0.321932557,-0.488844134,-0.450343698,"Indo-European","Europe",343259405,1.05e+08,0.31152648,25,20,5,9,11,5,5,0,4.825,19.2,0.63,7.82,0.98,4.34826086956522,-0.4846364,0.9579338,-0.7687792,-0.098493936,8163.111
"6","arz","Afro-Asiatic","Semitic","Egypt","Africa","arabicegyptian",30,31,3306230,2379857,4,21.0072222222222,2.49588888888889,2.85911111111111,5.43184444444444,0.0893666666666667,7.66578,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67,58,9,12,46,9,4,0,4.575,NA,NA,NA,NA,NA,-0.4846364,0.12048546,-0.7687792,-0.377643382,4153.443
"7","arb","Afro-Asiatic","Semitic","Yemen","Asia","arabic",25,42,NA,NA,NA,NA,NA,NA,NA,NA,8.31387,14,0.164882675,0.01504097,0.151904211,0.104776073,NA,NA,NA,1.27925117,1.159253818,1.32094036,1.514096938,"Semitic","N Africa",192300000,2.46e+08,0.56718634,NA,NA,NA,NA,NA,NA,NA,NA,4.57327586206897,16.4,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","afb","Afro-Asiatic","Semitic","Saudi Arabia","Asia","arabicgulf",26,49,5959005.55555556,3503967.44444444,10.8888888888889,25.651525,10.26825,12.547375,6.9050125,0.805475,6.36896,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","ben","Indo-European","Indic","India","Asia","bengali",24,90,5319442,65467,36.5,25.6542,169.112444444444,155.335444444444,3.87976666666667,7.38046666666667,8.23317,12,0.170295782,0.005742663,0.10938867,0.12692388,-1,0.20833,-0.20833,0.499611556,0.916961407,0.979528903,0.826555144,"Indo-European","Indic",175636450,87750000,0.477707006,53,36,17,13,23,17,10,0,4.075,24.1,NA,NA,NA,NA,1.3900889,0.9579338,-0.7687792,0.526414511,9970.793
"10","dan","Indo-European","Germanic","Denmark","Europe","danish",56,10,2253907,5242716,7,7.6049,58.026875,16.50375,6.3084375,6.090275,6.72426,10,0.510838791,0.376817384,0.393985757,0.474205672,-6,0.41667,-2.50002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.85,20,NA,NA,NA,3.40297658862876,NA,NA,NA,NA,NA
"11","deu","Indo-European","Germanic","Switzerland","Europe","german",52,10,4911687.88888889,1506806.88888889,13.6666666666667,8.0410325,68.884125,14.081325,6.4915375,6.7433325,7.97952,16,0.448203925,0.328909055,0.300133702,0.399168584,-13,1,-13,0.517507724,0.247334328,0.249339735,0.157360783,"Indo-European","Europe",97100000,50250000,0.390615478,39,23,16,6,17,16,8,0,4.25,24,0.79,5.97,0.9,3.4694983277592,1.3900889,0.12048546,-0.7687792,0.247265066,7277.99
"12","ell","Indo-European","Greek","Greece","Europe","greek",39,22,1987067.57142857,6522136.71428571,5.42857142857143,17.3359121212121,60.3326666666667,33.2696363636364,7.07479393939394,7.67866060606061,7.08844,19,0.323271874,0.168170791,0.213950153,0.257543324,NA,NA,NA,0.877035969,0.150092396,0.445244707,0.167548845,"Indo-European","Europe",12542245,1.1e+07,0.391941392,26,21,5,5,16,5,5,0,4.825,19.5,NA,NA,NA,4.04522727272727,-0.4846364,0.12048546,-0.7687792,-0.377643382,6024.787
"13","hin","Indo-European","Indic","India","Asia","hindi",25,77,16985416.5,7048274,106.5,25.61550625,95.25125,139.4201875,5.80816875,4.1553875,8.25711,16,0.354888164,0.235757543,0.271638936,0.305842297,-10,0.875,-8.75,0.809585874,-0.41049522,0.061280244,-0.468400712,"Indo-European","Indic",190838310,154500000,0.309176471,94,71,23,16,55,19,6,0,3.66494845360825,21.9,NA,NA,NA,NA,-0.4846364,1.79538213,-0.7687792,0.180655509,8691.814
"14","ita","Indo-European","Romance","Switzerland","Europe","italian",43,12,2981010.5,1311341.75,11.75,13.4033642857143,75.5140714285714,20.4518928571429,6.68983571428571,9.90546071428571,7.7888,15,0.42946793,0.278695629,0.26854984,0.356431677,-6,0.625,-3.75,0.759320602,-0.10108977,0.328083242,-0.143249283,"Indo-European","Europe",65848339,5e+07,0.351492928,30,23,7,8,15,7,7,0,4.775,18,0.72,6.99,0.96,3.8705033557047,NA,NA,NA,NA,NA
"15","jpn","Japanese","Japanese","Japan","Asia","japanese",37,140,36786086,90111963,18,10.669896,122.472,60.78324,8.86224,7.709504,8.0879,19,0.107663595,-0.004269927,0.115936829,0.051694017,-7,0.875,-6.125,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,27,11,6,21,11,5,2,4.26881720430108,19.4,0.49,7.84,0.73,NA,-0.4846364,-0.7169629,0.54663194,-0.218322461,13672.06
"16","zsm","Austronesian","Sundic","Malaysia","Asia","malay",3,102,4552502.75,13895686,67.75,26.84225,192.7595,69.891125,0.490175,11.796225,7.24562,13,0.268788194,0.166456067,0.154755959,0.249785371,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,21,6,6,15,6,6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","mal","Dravidian","Southern Dravidian","India","Asia","malayalam",10,76.5,3299265,3500189,34,26.9530888888889,253.263222222222,215.625888888889,1.02366666666667,9.36296666666667,7.55336,14,NA,NA,NA,NA,-4,0.33333,-1.33332,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","pan","Indo-European","Indic","Pakistan","Asia","panjabi",31,74,4911310,1430979,16,22.7048,86.167,103.074,7.4523,5.1429,7.44726,13,0.298064442,0.209817154,0.176613657,0.249110848,-5,0.54167,-2.70835,NA,NA,NA,NA,NA,NA,92127770.01,NA,NA,73,50,20,14,36,20,10,3,4.43333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","pol","Indo-European","Slavic","Poland","Europe","polish",52,20,7785362.5,1340968.5,7.25,7.6177,54,21.769,8.1055,6.881,7.63051,16,0.368976078,0.255472964,0.194842236,0.332022085,-5,0.54167,-2.70835,0.028650683,0.712672698,0.812760528,0.714252302,"Indo-European","Europe",39990670,1145760,0.463091483,37,31,6,8,23,6,6,0,4.5,NA,NA,NA,NA,3.83662878787879,-0.4846364,0.9579338,-0.7687792,-0.098493936,6789.507
"20","pes","Indo-European","Iranian","Iran","Asia","persian",32,54,68593415,18531563,59,18.8035153846154,4.76596153846154,4.6785,9.2819,0.108626923076923,7.38589,20,0.072154253,-0.055005326,0.027726175,0.012656652,-6,0.95833,-5.74998,1.307173006,0.395093957,0.264814273,-0.106286409,"Indo-European","Greater Mesopotamia",47430600,6.2e+07,0.356303419,30,24,6,6,18,6,6,0,4.26,24.6,NA,NA,NA,NA,-0.4846364,0.12048546,-0.7687792,-0.377643382,6351.344
"21","sin","Indo-European","Indic","Sri Lanka","Asia",NA,7,80.5,5350511,2532769,5,23.36285,184.421,87.5368333333333,0.834333333333333,11.7395833333333,7.12124,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53,37,16,13,24,16,7,0,4.3448275862069,NA,NA,NA,NA,NA,1.3900889,0.12048546,-0.7687792,0.247265066,9903.463
"22","som","Afro-Asiatic","Eastern Cushitic","Somalia","Africa","somali",3,45,22171958,3462603.5,12.5,27.0416166666667,36.2158333333333,34.66075,1.63999166666667,3.33974166666667,7.10221,14,0.182521272,0.109646953,0.177367102,0.172688439,-4,0.5,-2,0.036044609,-0.094888136,0.509332264,0.065110146,"Cushitic","Greater Abyssinia  ",13871700,5e+05,0.378609626,52,30,20,9,21,20,10,2,4.14885496183206,NA,NA,NA,NA,NA,1.3900889,0.12048546,0.54663194,0.685735432,3971.735
"23","sqt","Afro-Asiatic","Semitic","Yemen","Asia",NA,12.5,54,244956,0,0,NA,NA,NA,NA,NA,4.80618,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34,28,6,16,12,6,6,0,4.25105485232068,NA,NA,NA,NA,NA,-0.4846364,0.9579338,-0.7687792,-0.098493936,7216.364
"24","swa","Niger-Congo","Bantoid","Tanzania","Africa","swahili",-6.5,39,207951,829201,5.5,26.3447444444444,101.259888888889,78.2663333333333,1.44818888888889,8.10233333333333,5.88798,21,0.320511025,0.222506485,0.202616015,0.285695007,-8,0.91667,-7.33336,NA,NA,NA,NA,NA,NA,15437390,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","swe","Indo-European","Germanic","Sweden","Europe","swedish",60,15,22889222,8626187,14.5,4.4875,51.211,17.219,8.3133,5.2722,6.94398,11,0.414008054,0.2983807,0.272198328,0.371180321,-7,0.58333,-4.08331,NA,NA,NA,NA,NA,NA,9197089.992,NA,NA,35,18,17,5,13,17,9,0,3.61875,20.1,NA,NA,NA,3.45548494983278,NA,NA,NA,NA,NA
"26","tgl","Austronesian","Meso-Philippine","Philippines","Asia",NA,15,121,2824947,6297046,28,27.2231142857143,184.462428571429,172.641714285714,1.13042857142857,7.82014285714286,7.2014,16,NA,NA,NA,NA,NA,NA,NA,2.496744441,-0.575561829,-1.077214457,-0.628662623,"Austronesian","Oceania",20426600,5.1e+07,0.288319369,28,18,10,7,11,10,5,0,4.72556390977444,NA,NA,NA,NA,NA,-0.4846364,0.12048546,-0.7687792,-0.377643382,13328.44
"27","tel","Dravidian","South-Central Dravidian","India","Asia","telugu",16,79,24001535,7197160,40,27.5381,81.056,82.884,3.191,5.4667,7.84316,11,0.168289451,0.011723266,0.141156077,0.126380109,-4,0.33333,-1.33332,0.067522856,NA,NA,NA,NA,NA,74049000.01,4999999.996,NA,68,47,21,12,35,21,10,0,5.31666666666667,21.4,NA,NA,NA,NA,-0.4846364,0.9579338,-0.7687792,-0.098493936,9263.461
"28","tha","Tai-Kadai","Kam-Tai","Thailand","Asia","thai",16,101,15294278,9003688,31,27.3432,104.94975,88.85225,2.084625,7.073875,7.306,6,0.368569803,0.255574067,0.266398402,0.342220542,-13,0.79167,-10.29171,1.961079437,NA,NA,NA,NA,NA,20396929.98,39999999.97,NA,45,21,18,7,14,18,9,6,3.64518272425249,NA,NA,NA,NA,NA,1.3900889,0.12048546,1.86204304,1.124205799,11377.11
"29","tam","Dravidian","Southern Dravidian","Sri Lanka","Asia",NA,15.25,80.1875,3264391.2,1424534.8,18,27.0005722222222,93.7004444444444,84.6489444444444,2.68754444444444,5.81081666666667,7.33684,16,0.168881472,-0.0009452,0.10347207,0.127821324,-1,0.41667,-0.41667,0.127173926,1.99163036,2.331542362,2.504596403,"Dravidian","Indic",66837600,8500000,0.69609375,33,21,12,10,11,10,5,0,4.67,20.8,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","tur","Altaic","Turkic","Turkey","Eurasia","turkish",39,35,12279958.6,4284342.6,13.4,10.4969727272727,34.7320909090909,17.7285151515152,7.46548484848485,4.2002303030303,7.70437,25,0.206613543,0.099222086,0.105532156,0.177811542,-5,1,-5,0.169834974,1.292982523,1.189024247,1.276902534,"Turkic","Greater Mesopotamia",62375060,10593467,0.536316948,40,24,16,6,18,16,8,0,4.31071428571429,23.7,NA,NA,NA,3.94511705685619,1.3900889,0.12048546,-0.7687792,0.247265066,5218.225
"31","urd","Indo-European","Indic","Pakistan","Asia","urdu",25,67,642062.5,1204216,12.5,26.058019047619,19.4038095238095,28.873380952381,4.25017142857143,1.6047619047619,7.78178,13,0.160483448,0.128024539,0.133203327,0.131005133,-3,0.29167,-0.87501,0.716545518,-0.358326583,0.202996713,-0.481385111,"Indo-European","Indic",60586800,43413200,0.307486631,NA,NA,NA,NA,NA,NA,NA,NA,3.98717948717949,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","azb","Altaic","Turkic","Iraq","Asia","azerbaijani",40.5,48.5,2740630.85714286,1361841.42857143,12,13.3955833333333,38.7445,28.0053333333333,8.8571,5.2796,7.38675,14,0.282797384,0.181506393,0.173837996,0.24607037,-1,0.375,-0.375,NA,NA,NA,NA,NA,NA,NA,NA,NA,34,25,9,4,21,9,9,0,3.78571428571429,NA,NA,NA,NA,NA,1.3900889,0.12048546,-0.7687792,0.247265066,6117.956
"33","brh","Dravidian","Northern Dravidian","Pakistan","Asia","brahui",28.5,67,4586047,851496.5,8,21.82815,9.6355,11.453,8.63695,1.375,6.34439,20,NA,NA,NA,NA,-6,0.875,-5.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,24,9,6,18,9,4,0,3.57938596491228,NA,NA,NA,NA,NA,-0.4846364,0.12048546,-0.7687792,-0.377643382,7633.551
"34","rmt","Indo-European","Indic","Jordan","Asia","domari",32,35,117,4197,6,20.0686,41.412,48.517,5.5623,4.7059,6.27326,15,NA,NA,NA,NA,0,0.16667,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.91538461538462,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","prs","Indo-European","Iranian","Afghanistan","Asia","dari",35,66,14277200,5697927,85,7.17473333333333,27.0616666666667,24.3076666666667,9.7398,1.6611,6.88081,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","gju","Indo-European","Indic","India","Asia","gojri",32.75,76.25,73158.6666666667,319610,8.66666666666667,17.8133,86.383,57.085,7.3086,8.4,5.99665,13,NA,NA,NA,NA,0,0.125,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,32,18,10,22,18,4,0,3.59447004608295,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","sgl","Indo-European","Iranian","Tajikistan","Asia","ishkashmi",37,72,67742,131111.5,7.5,NA,NA,NA,NA,NA,3.17609,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","kaz","Altaic","Turkic","Kazakhstan","Asia","kazakh",50,70,30422412.3333333,7813576,17.8333333333333,6.046175,14.5375,8.6215,13.213,1.0697,6.91269,12,NA,NA,NA,NA,-2,0.16667,-0.33334,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.7125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","kir","Altaic","Turkic","Kyrgyzstan","Asia","kirghiz",42,75,6029158.25,2445639.5,10.75,11.40065,12.4645,7.527,11.27955,0.875,6.49648,15,NA,NA,NA,NA,0,0.16667,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,36,20,16,6,14,16,8,0,3.75641025641026,NA,NA,NA,NA,NA,1.3900889,0.12048546,-0.7687792,0.247265066,8276.863
"40","kaa","Altaic","Turkic","Uzbekistan","Asia","karakalpak",43,60,1731780,2084389,8,11.2,10.1586,6.1312,12.0148,0.1,5.61441,13,NA,NA,NA,NA,0,0.20833,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.06410256410256,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","bsh","Indo-European","Indic","Pakistan","Asia","katiinafghanistan",35.5,70,208274.5,277989.5,10,NA,NA,NA,NA,NA,4.27184,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","mhj","Altaic","Mongolic","Afghanistan","Asia","moghol",35,62,7003,31464,2,NA,NA,NA,NA,NA,2.30103,15,NA,NA,NA,NA,0,0.125,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,29,24,5,11,13,5,5,0,4.05882352941176,NA,NA,NA,NA,NA,-0.4846364,0.12048546,-0.7687792,-0.377643382,7099.201
"43","oru","Indo-European","Iranian","Pakistan","Asia","ormuri",32.5,69.75,27199,60837,4,NA,NA,NA,NA,NA,3.02119,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,25,6,11,14,6,6,0,4.02857142857143,NA,NA,NA,NA,NA,-0.4846364,-1.5544112,-0.7687792,-0.935942272,7825.179
"44","prn","Indo-European","Indic","Afghanistan","Asia","prasuni",35.5,71,43998,86236,5,NA,NA,NA,NA,NA,3,14,NA,NA,NA,NA,0,0.125,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","sdg","Indo-European","Indic","Afghanistan","Asia",NA,35,71.5,10448,39812,5,17.625,108.083,51.791,9.4033,10,3.47712,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.62857142857143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","tuk","Altaic","Turkic","Turkmenistan","Asia",NA,40,58,4034116.5,3861819,14.25,15.2880666666667,22.8453333333333,18.769,9.10273333333333,2.7702,6.80642,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.10869565217391,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","tat","Altaic","Turkic","Russia","Eurasia",NA,56,49.5,3453898.5,2124315,9.5,3.80581578947368,43.4470526315789,15.8512631578947,12.0280684210526,4.82456315789474,6.20683,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.63274336283186,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","uig","Altaic","Turkic","China","Asia",NA,40,80,16768512,8757640.33333333,17.3333333333333,8.40885,12.8185,6.3215,12.2966,0.34375,6.8809,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.52631578947368,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","uzn","Altaic","Turkic","Uzbekistan","Asia",NA,39,66,4354273,3270004.6,16.6,13.29148,23.6822,21.4762,10.16962,1.80556,7.27406,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,24,6,6,18,6,6,0,3.6375,NA,NA,NA,NA,NA,-0.4846364,0.12048546,-0.7687792,-0.377643382,7555.523
"50","apc","Afro-Asiatic","Semitic","Syria","Asia","arabicsyrian",34,38,1070301.5,855644.25,7,16.7884214285714,19.4375,17.4723571428571,7.42665714285714,1.31492142857143,7.15563,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.58333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","aln","Indo-European","Albanian","Albania","Europe","albanian",41,20,747334.5,619994,7.5,14.9028625,90.279,38.0735,6.3285375,9.84375,6.44393,17,0.250572705,0.084867537,0.178381806,0.174521636,-7,0.70833,-4.95831,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.85,NA,NA,NA,NA,NA,1.3900889,0.12048546,-0.7687792,0.247265066,6143.505
"52","mkd","Indo-European","Slavic","Macedonia","Europe","macedonian",41.67,21.75,1163661,620942.666666667,11,12.2885166666667,44.2951666666667,10.7826666666667,8.15715,6.04166666666667,6.20364,12,0.483938497,0.369632662,0.3245376,0.468506672,-3,0.20833,-0.62499,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,26,6,7,19,6,6,0,4.1375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","hye","Indo-European","Armenian","Turkey","Eurasia","armenian",40,45,641915.666666667,529636.166666667,7.5,12.8469785714286,20.7108571428571,11.4793928571429,10.3308071428571,4.05892857142857,6.82762,17,0.415663261,0.30147607,0.272546204,0.382974129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37,31,6,6,25,6,6,0,4.28125,NA,NA,NA,NA,NA,-0.4846364,-1.5544112,-0.7687792,-0.935942272,5840.478
"54","kat","Kartvelian","Kartvelian","Georgia","Asia","georgian",42,44,1206558.5,771888,14.75,5.49747272727273,67.4981818181818,24.1493636363636,7.20645454545455,6.12120909090909,6.62103,25,0.391881002,0.296647137,0.283574752,0.376557817,-6,0.83333,-4.99998,0.018800217,1.088108383,0.899690401,1.041570258,"Kartvelian","Greater Mesopotamia",4255270,80000,0.5056899,35,29,6,5,24,6,5,0,5.6,NA,NA,NA,NA,NA,-0.4846364,0.9579338,-0.7687792,-0.098493936,5922.392
"55","kmr","Indo-European","Iranian","Turkey","Eurasia","kurmanji",38,42,2695992.125,1416432.75,13,14.3647655172414,67.6056206896552,49.4219310344828,9.75544137931034,4.31934827586207,6.95969,13,NA,NA,NA,NA,-2,0.25,-0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,47,30,17,9,21,9,4,0,3.875,NA,NA,NA,NA,NA,1.3900889,0.9579338,-0.7687792,0.526414511,5534.577
"56","krc","Altaic","Turkic","Russia","Eurasia","karachaybalkar",43.5,42,1312300,775235,9,1.40115714285714,59.4937142857143,47.5788571428571,6.37652857142857,4.21428571428571,5.38209,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.48648648648649,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","aii","Afro-Asiatic","Semitic","Syria","Asia","neoaramaicassyrian",36,41,62670.25,181374.75,7,18.1848666666667,24.3280833333333,22.3165416666667,9.49610416666667,4.08333333333333,5.3227,13,NA,NA,NA,NA,NA,NA,NA,10.26178969,0.539493953,0.235429391,0.682940109,"Semitic","Greater Mesopotamia",319665,3280335,0.459016393,NA,NA,NA,NA,NA,NA,NA,NA,4.55223880597015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","rus","Indo-European","Slavic","Russia","Eurasia","russian",56,38,178501546.4,75484758.6,47.8,4.90176666666667,53.4298666666667,17.1219666666667,10.4204833333333,4.78655,8.16146,17,0.449202464,0.346802597,0.256513132,0.419505068,-11,0.95833,-10.54163,0.724747611,0.850436683,0.819164737,0.789077192,"Indo-European","Inner Asia",151776975,1.1e+08,0.472829482,38,33,5,9,24,5,5,0,5.3695652173913,20.3,NA,NA,NA,3.33966555183946,-0.4846364,0.9579338,-0.7687792,-0.098493936,7094.689
"59","ukr","Indo-European","Slavic","Ukraine","Asia","ukranian",49,33,14961795,2394412.5,12.25,8.77156666666667,54.2056666666667,18.078,8.46003333333333,6.7857,7.59596,12,0.370872167,0.246811328,0.207987682,0.327162296,NA,NA,NA,NA,NA,NA,NA,NA,NA,34868739.98,NA,NA,30,24,6,6,18,6,6,0,4.525,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","nld","Indo-European","Germanic","Netherlands","Europe","dutch",52.5,6,2266889.5,2017471,18,9.44725,65.8815,10.7075,5.76255,7.22545,7.23982,14,0.474020627,0.331354159,0.310162639,0.437069246,-6,0.625,-3.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,39,24,15,9,15,12,7,0,3.65625,22.7,NA,NA,NA,3.84120401337793,NA,NA,NA,NA,NA
"61","pap","Creoles and Pidgins","","Netherlands Antilles","North America","papiamentu",12.25,-69,42606,690797.5,2.5,27.1655,47.756,34.611,0.941,3.6429,5.50433,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.4625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","kwn","Niger-Congo","Bantoid","Namibia","Africa","kwangali",-18,19.5,1357490.5,678348,11,23.0167,52.417,63.476,3.1797,4,4.92416,14,NA,NA,NA,NA,-1,0.25,-0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.07575757575758,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","xuu","Khoisan","Central Khoisan","Namibia","Africa","kxoe",-17.5,22.5,1143666,624992.666666667,14.6666666666667,NA,NA,NA,NA,NA,3.99948,13,NA,NA,NA,NA,0,0.20833,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.86507936507937,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
