LangID,CountryID,LangStatus,Name
aaa,NG,L,Ghotuo
aab,NG,L,Alumu-Tesu
aac,PG,L,Ari
aad,PG,L,Amal
aae,IT,L,Albanian
aaf,IN,L,Aranadan
aag,PG,L,Ambrak
aah,PG,L,Arapesh
aai,PG,L,Miniafia Oyan
aak,PG,L,Ankave
aal,CM,L,Afade
aan,BR,L,AnambÃƒÂ©
aao,DZ,L,Arabic
aap,BR,L,ArÃƒÂ¡ra
aaq,US,L,Abenaki
aar,ET,L,Afar
aas,TZ,L,AasÃƒÂ¡x
aat,GR,L,Albanian
aau,PG,L,Abau
aaw,PG,L,Solong
aax,ID,L,Mandobo Atas
aaz,ID,L,Amarasi
aba,CI,L,AbÃƒÂ©
abb,CM,L,Bankon
abc,PH,L,Ayta
abd,PH,L,Manide
abe,CA,L,Abenaki
abf,MY,L,Abai Sungai
abg,PG,L,Abaga
abh,TJ,L,Arabic
abi,CI,L,Abidji
abj,IN,X,Aka-Bea
abk,GE,L,Abkhaz
abl,ID,L,Lampung Nyo
abm,NG,L,Abanyom
abn,NG,L,Abua
abo,NG,L,Abon
abp,PH,L,Ayta
abq,RU,L,Abaza
abr,GH,L,Abron
abs,ID,L,Malay
abt,PG,L,Ambulas
abu,CI,L,Abure
abv,BH,L,Arabic
abw,PG,L,Pal
abx,PH,L,Inabaknon
aby,PG,L,Aneme Wake
abz,ID,L,Abui
aca,CO,L,Achagua
acb,NG,L,ÃƒÂÅncÃƒÂ¡
acd,GH,L,Gikyode
ace,ID,L,Aceh
acf,LC,L,Saint Lucian Creole French
ach,UG,L,Acholi
aci,IN,X,Aka-Cari
ack,IN,X,Aka-Kora
acl,IN,X,Akar-Bale
acm,IQ,L,Arabic
acn,CN,L,Achang
acp,NG,L,Acipa
acq,YE,L,Arabic
acr,GT,L,Achi
acs,BR,X,AcroÃƒÂ¡
act,NL,L,Achterhoeks
acu,PE,L,Achuar-Shiwiar
acv,US,L,Achumawi
acw,SA,L,Arabic
acx,OM,L,Arabic
acy,CY,L,Arabic
acz,SD,L,Acheron
ada,GH,L,Dangme
adb,TL,L,Adabe
add,CM,L,Dzodinka
ade,TG,L,Adele
adf,OM,L,Arabic
adg,AU,L,Andegerebinha
adh,UG,L,Adhola
adi,IN,L,Adi
adj,CI,L,Adioukrou
adl,IN,L,Adi
adn,ID,L,Adang
ado,PG,L,Abu
adq,GH,L,Adangbe
adr,ID,L,Adonara
ads,GH,L,Adamorobe Sign Language
adt,AU,L,Adnyamathanha
adu,NG,L,Aduge
adw,BR,L,Amundava
adx,CN,L,Tibetan
ady,RU,L,Adyghe
adz,PG,L,Adzera
aea,AU,X,Areba
aeb,TN,L,Arabic
aec,EG,L,Arabic
aed,AR,L,Argentine Sign Language
aee,AF,L,Pashai
aek,NC,L,Haeke
ael,CM,L,Ambele
aem,VN,L,Arem
aen,AM,L,Armenian Sign Language
aeq,PK,L,Aer
aer,AU,L,Arrernte
aeu,CN,L,Akeu
aew,PG,L,Ambakich
aey,PG,L,Amele
aez,PG,L,Aeka
afb,KW,L,Arabic
afd,PG,L,Andai
afe,NG,L,Utugwang-Irungene-Afrike
afg,AF,L,Afghan Sign Language
afi,PG,L,Chini
afk,PG,L,Nanubae
afn,NG,L,Defaka
afo,NG,L,Eloyi
afp,PG,L,Tapei
afr,ZA,L,Afrikaans
afs,MX,L,Afro-Seminole Creole
aft,SD,L,Afitti
afu,GH,L,Awutu
afz,ID,L,Obokuitai
aga,PE,L,Aguano
agb,NG,L,Legbo
agc,NG,L,Agatu
agd,PG,L,Agarabi
age,PG,L,Angal
agf,ID,L,Arguni
agg,PG,L,Angor
agh,CD,L,Ngelima
agi,IN,L,Agariya
agj,ET,L,Argobba
agk,PH,L,Agta
agl,PG,L,Fembe
agm,PG,L,Angaataha
agn,PH,L,Agutaynen
ago,PG,L,Tainae
agq,CM,L,Aghem
agr,PE,L,Aguaruna
ags,CM,L,Esimbi
agt,PH,L,Agta
agu,GT,L,Awakateko
agv,PH,L,Dumagat
agw,SB,L,Kahua
agx,RU,L,Aghul
agy,PH,L,Alta
agz,PH,L,Agta
aha,GH,L,Ahanta
ahb,VU,L,Axamb
ahg,ET,L,Qimant
ahh,ID,L,Aghu
ahi,CI,L,Aizi
ahk,MM,L,Akha
ahl,TG,L,Igo
ahm,CI,L,Aizi
ahn,NG,L,Ãƒâ‚¬hÃƒ n
aho,IN,L,Ahom
ahp,CI,L,Aizi
ahr,IN,L,Ahirani
ahs,NG,L,Ashe
aht,US,L,Ahtena
aia,SB,L,Arosi
aib,CN,L,Ainu
aic,PG,L,Ainbai
aid,AU,X,Alngith
aie,PG,L,Amara
aif,PG,L,Agi
aig,AG,L,Antigua and Barbuda Creole English
aih,CN,L,Ai-Cham
aii,IQ,L,Assyrian Neo-Aramaic
aij,IL,L,Lishanid Noshan
aik,NG,L,Ake
ail,PG,L,Aimele
aim,IN,L,Aimol
ain,JP,L,Ainu
aio,IN,L,Aiton
aip,ID,L,Burumakok
aiq,AF,L,Aimaq
air,ID,L,Airoran
ais,TW,L,Amis
ait,BR,X,Arikem
aiw,ET,L,Aari
aix,PG,L,Aighon
aiy,CF,L,Ali
aja,SS,L,Aja
ajg,BJ,L,Aja
aji,NC,L,AjiÃƒÂ«
ajn,AU,L,Andajin
ajp,JO,L,Arabic
ajt,IL,L,Arabic
aju,IL,L,Arabic
ajw,NG,X,Ajawa
ajz,IN,L,Amri Karbi
aka,GH,L,Akan
akb,ID,L,Batak Angkola
akc,ID,L,Mpur
akd,NG,L,Ukpet-Ehom
ake,GY,L,Akawaio
akf,NG,L,Akpa
akg,ID,L,Anakalangu
akh,PG,L,Angal Heneng
aki,PG,L,Aiome
akj,IN,X,Aka-Jeru
akl,PH,L,Inakeanon
akm,IN,X,Aka-Bo
ako,SR,L,Akurio
akp,GH,L,Siwu
akq,PG,L,Ak
akr,VU,L,Araki
aks,TG,L,Akaselem
akt,PG,L,Akolet
aku,CM,L,Akum
akv,RU,L,Akhvakh
akw,CG,L,Akwa
akx,IN,X,Aka-Kede
aky,IN,X,Aka-Kol
akz,US,L,Alabama
ala,NG,L,Alago
alc,CL,L,Qawasqar
ald,CI,L,Alladian
ale,US,L,Aleut
alf,NG,L,Alege
alh,AU,L,Alawa
ali,PG,L,Amaimon
alj,PH,L,Alangan
alk,LA,L,Alak
all,IN,L,Allar
alm,VU,L,Amblong
aln,RS,L,Albanian
alo,ID,L,Larike-Wakasihu
alp,ID,L,Alune
alq,CA,L,Algonquin
alr,RU,L,Alutor
als,AL,L,Albanian
alt,RU,L,Altai
alu,SB,L,Ã¢â‚¬â„¢AreÃ¢â‚¬â„¢are
alw,ET,L,Alaba-KÃ¢â‚¬â„¢abeena
alx,PG,L,Amol
aly,AU,L,Alyawarr
alz,CD,L,Alur
ama,BR,L,AmanayÃƒÂ©
amb,NG,L,Ambo
amc,PE,L,Amahuaca
ame,PE,L,YaneshaÃ¢â‚¬â„¢
amf,ET,L,Hamer-Banna
amg,AU,L,Amurdak
amh,ET,L,Amharic
ami,TW,L,Amis
amj,TD,L,Amdang
amk,ID,L,Ambai
aml,BD,L,War-Jaintia
amm,PG,L,Ama
amn,PG,L,Amanab
amo,NG,L,Amo
amp,PG,L,Alamblak
amq,ID,L,Amahai
amr,PE,L,Amarakaeri
ams,JP,L,Amami-Oshima
amt,PG,L,Amto
amu,MX,L,Amuzgo
amv,ID,L,Ambelau
amw,SY,L,Western Neo-Aramaic
amx,AU,L,Anmatyerre
amy,AU,L,Ami
amz,AU,X,Atampaya
ana,CO,L,Andaqui
anb,PE,X,Andoa
anc,NG,L,Ngas
and,ID,L,Ansus
