language_ethno,iso,stock,region,family_wals,genus_wals,l1_ ethnologue,l1_encarta,other_estimates,l1,l2_ethnologue,l2_others,l2,ratio,perc
Aari,aiw,Omotic,Greater Abyssinia  ,AA,South Omotic,155000,NA,NA,155000,13319,NA,13319,0.085929032,0.07912951
Abaza,abq,West Caucasian,Greater Mesopotamia,NWC,Northwest Caucasian,48280,NA,NA,48280,95% speak it as L1,NA,2414,0.05,0.047619048
Abkhaz,abk,North Caucasian,Greater Mesopotamia,NWC,Northwest Caucasian,117350,NA,NA,117350,7041,NA,7041,0.06,0.056603774
Achumawi,acv,Palaihninan,Basin and Plains,Hok,Palaihnihan,16 (census 2000),NA,NA,16,8 nonfluent speakers (census 2000 ,NA,8,0.5,0.333333333
Adyghe,ady,West Caucasian,Greater Mesopotamia,NWC,Northwest Caucasian,499300,NA,NA,499300,96% speak it as L1,NA,19972,0.04,0.038461539
Afar ,aar,Cushitic,Greater Abyssinia  ,AA,Eastern Cushitic,1078200,NA,1.4 million (1998 census) ,1239100,22848,NA,22848,0.01843919,0.018105342
Afrikaans ,afr,Indo-European,S Africa,IE,Germanic,4934950,NA,"6.0 million native, 10.3 million second language, = 16 million total (1996 census) ",5467475,10300000,10300000,10300000,1.883867782,0.653243465
Aghul,agx,Nakh-Daghestanian,Greater Mesopotamia,Nda,Lezgic,28332,NA,NA,28332,98% speak it as L1,NA,567,0.020012706,0.019620056
"Akan (Twi Asante, Twi Fante)",aka,Kwa,African Savannah  ,NC,Kwa,8300000,NA,"8.3 million native, ~1 million second language, = ~10 million total (2004 SIL) ",8300000,1000000,1000000,1000000,0.120481928,0.107526882
Alaba-K•_Õabeena,alw,Cushitic,Greater Abyssinia  ,AA,Eastern Cushitic,162000,NA,NA,162000,29699,NA,29699,0.18332716,0.154925169
Alawa,alh,Maran,N Australia,Aus,Maran,18 (1991 M. Sharpe),NA,NA,18,4 semi-speakers,NA,4,0.222222222,0.181818182
Amharic ,amh,Semitic ,Greater Abyssinia  ,AA,Semitic,17528500,17400000,"Official in Ethiopia. Significant communities in Israel.27 million native (32.7% Ethiopia [1994 census] and 2.7 million emigrants), 10% (7 million) as a second language = 34 million total ",17464250,4000000,7000000,5500000,0.314929069,0.239502705
Anuak,anu,Nilotic,Greater Abyssinia  ,NS,,97600,NA,NA,97600,2114,NA,2114,0.021659836,0.021200634
Anufo,cko,Kwa,African Savannah  ,NC,Kwa,137600,,,137600,18000 Ngangam L2 speakers in Togo,,18000,0.130813953,0.115681234
Anyin,any,Kwa,African Savannah  ,NC,Kwa,860000,NA,NA,860000,10000-100000 L2 users,NA,55000,0.063953488,0.06010929
Arabic ,arb,Semitic ,N Africa,AA,Semitic,221000000,150000000,"206,000,000 (Ethn.) 246 million including second language speakers (Ethnologue, 1999)[23] It is also one of the six official languages of the United Nations.*Ethnologue further counts each of sixteen dialects. (144 million speakers in Asia)",192300000,246000000,NA,246000000,1.27925117,0.561259411
Arabic (Moroccan),ary,Semitic ,N Africa,AA,Semitic,21048900,NA,NA,21048900,5000000,NA,5000000,0.237542104,0.191946685
"Arabic, Algerian (Dellys)",arq,Semitic ,N Africa,AA,Semitic,22397000,NA,NA,22397000,3000000,NA,3000000,0.133946511,0.118124188
"Arabic, southern Sudan",pga,Semitic ,N Africa,AA,Semitic,20000,NA,NA,20000,44000,NA,44000,2.2,0.6875
Aragonese ,arg,Indo-European,Europe,IE ,Romance,11000,NA,"10,000 native, 30,000-50,000 with some knowledge (Dated data)",10500,20000,40000,30000,2.857142857,0.740740741
Araona,aro,Pano-Tacanan,NE South America,Tac,Tacanan,81,NA,NA,81,NA,90% of the population (90) are fluent (Adelaar 2007),9,0.111111111,0.1
Arbore,arv,Cushitic,Greater Abyssinia  ,AA,Eastern Cushitic,4440,NA,NA,4440,3108,NA,3108,0.7,0.411764706
Argobba,agj,Semitic ,Greater Abyssinia  ,AA,Semitic,10900,NA,NA,10900,3236,NA,3236,0.296880734,0.228919072
Assamese ,asm,Indo-European,Indic,IE,,16818750,15374000,"Official in India (Assam). Significant communities in Bhutan and Bangladesh. Assamese is spoken and/or understood by almost everyone in the state of Assam. Assam had a population of 26.7 million in 2003-04. So, Assamese has another 8-10 million second language speakers. Assamese is also understood and spoken widely in Arunachal Pradesh, which has a population of 1.1 million. These are mostly second or third language speakers. Various tribes in Nagaland, with a population of 2 million, use Nagamese, a variant of Assamese, for communication. Thus, a total of approximately, 28-30 million people speak and understand Assamese. ",16096375,NA,13100000,13100000,0.813847838,0.448685839
Asturian,ast,Indo-European,Europe,IE,Romance,125000,NA,NA,125000,"450,000 L2 speakers able to speak or understand it (1994 F. Botas)",NA,450000,3.6,0.782608696
Awadhi,awa,Indo-European,Indic,IE,,38261000,NA,NA,38261000,19996,NA,19996,0.000522621,0.000522348
Awngi ,awn,Cushitic,Greater Abyssinia  ,AA,Central Cushitic,500000,NA,356980,428490,64425,NA,64425,0.150353567,0.130702048
"Azerbaijani, North",azj,Turkic,Greater Mesopotamia,Alt ,Turkic,7473270,NA,NA,7473270,8000000,NA,8000000,1.070481864,0.517020643
