language,genus_pk,WALS,ISO,latitude,longitude,macroarea,name,pk
berberaytseghrouchenmiddleatlas,4,bse,tzm,33.33333333,-4.666666667,Africa,Berber (Ayt Seghrouchen Middle Atlas),863
berberchaouia,4,bch,shy,35,7,Africa,Berber (Chaouia),1020
berberfiguig,4,bfg,,32.5,-1.5,,Berber (Figuig),1975
berbermiddleatlas,4,bma,tzm,33,-5,Africa,Berber (Middle Atlas),2473
berbermzab,4,bmz,mzb,32.5,3.5,Africa,Berber (Mzab),287
berberrif,4,brf,rif,34.5,-4,Africa,Berber (Rif),1826
berbersiwa,4,bsi,siz,29.16666667,25.5,Africa,Berber (Siwa),915
berberwargla,4,bou,oua,31.91666667,5.333333333,Africa,Berber (Wargla),33
berbicedutchcreole,331,bdc,brc,5.333333333,-58,South America,Berbice Dutch Creole,782
beria,312,zag,zag,16,23,Africa,Beria,2599
berik,423,brk,bkl,-2.25,138.8333333,Papunesia,Berik,972
berta,319,ber,wti,10.33333333,34.66666667,Africa,Berta,2132
bete,277,bet,bev,6.25,-6.25,Africa,Bí©tí©,1539
betoi,109,bti,,7.166666667,-71.25,South America,Betoi,1021
bettakurumba,149,bkb,xub,11.5,76.75,Eurasia,Betta Kurumba,2606
bezhta,269,bez,kap,42.08333333,46.16666667,Eurasia,Bezhta,783
bhili,182,bhi,bhb,22,73,Eurasia,Bhili,658
bhojpuri,182,bho,bho,26,84,Eurasia,Bhojpuri,1790
bhumij,66,bhu,unr,21.33333333,86.5,Eurasia,Bhumij,1022
biafada,276,bfd,bif,11.41666667,-15.16666667,Africa,Biafada,34
biak,79,bik,bhw,-1,136,Papunesia,Biak,864
biatah,95,bit,bth,1.25,110,Papunesia,Biatah,35
bidiya,2,bid,bid,11.91666667,18.75,Africa,Bidiya,1442
bikol,513,bkl,bcl,13.33333333,123.5,Papunesia,Bikol,1672
bilaan,517,biq,"bps, smk",6,125.3333333,Papunesia,Bilaan,36
bilin,7,bln,byn,15.75,38.5,Africa,Bilin,1922
bilinarra,559,bnr,nbj,-16,131.6666667,Australia,Bilinarra,916
biloxi,391,blx,bll,30.5,-88.66666667,North America,Biloxi,1949
bilua,398,bil,blb,-7.75,156.6666667,Papunesia,Bilua,1748
bima,75,bim,bhp,-8.5,118.5,Papunesia,Bima,514
bimoba,290,bmb,bim,10.5,0,Africa,Bimoba,1673
binandere,442,bin,bhg,-8.25,148,Papunesia,Binandere,1443
binga,305,big,yul,8,25,Africa,Binga,865
bini,295,bni,bin,6.416666667,5.833333333,Africa,Bini,1384
bininjgunwok,44,bbw,gup,-12.5,133.75,Australia,Bininj Gun-Wok,2172
binukid,513,bkd,bkd,8.25,124.8333333,Papunesia,Binukid,515
binumarien,430,bnm,bjr,-6.283333333,146.0833333,Papunesia,Binumarien,659
bira,274,bia,"bip, brf",1,28.75,Africa,Bira,1103
biri,560,bii,bzr,-20.5,146.5,Australia,Biri,1749
birom,283,bir,bom,9.666666667,8.833333333,Africa,Birom,2202
birri,305,brz,bvq,5.5,25.16666667,Africa,Birri,288
bisa,273,bis,bib,11.5,-0.5,Africa,Bisa,1348
bislama,331,bsm,bis,-16,168,Papunesia,Bislama,289
bisu,380,biu,"bzi, lwm",19.75,100,Eurasia,Bisu,1217
blackfoot,17,bla,bla,50,-112.6666667,North America,Blackfoot,2091
boazi,246,boa,kvg,-7,141.3333333,Papunesia,Boazi,1104
bobangi,274,bob,bni,-1.333333333,17.33333333,Africa,Bobangi,1218
bobo madare northern,292,bbf,bbo,12.41666667,-4.333333333,Africa,Bobo Madarí© (Northern),1219
bodo,383,bod,brx,26.83333333,92,Eurasia,Bodo,2072
boiken,368,boi,bzf,-3.5,143.5,Papunesia,Boiken,516
bokar,382,boq,adi,28.5,94.66666667,Eurasia,Bokar,784
boko,273,bok,bqc,10.5,3.5,Africa,Boko,917
bole,6,blq,bol,11.33333333,11.25,Africa,Bole,517
bolia,274,bol,bli,-1.25,18.33333333,Africa,Bolia,1023
bongo,305,bgo,bot,7.5,28.5,Africa,Bongo,1674
bongu,437,bon,bpu,-5.5,145.9166667,Papunesia,Bongu,1297
bontok,514,btk,bnc,17.08333333,120.9166667,Papunesia,Bontok,1791
bora,179,bor,boa,-2.166666667,-72.33333333,South America,Bora,866
bori,382,boj,adi,28.33333333,94.75,Eurasia,Bori,1024
bororo,242,brr,bor,-16,-57,South America,Bororo,2247
boruca,123,brc,brn,8.833333333,-83.25,North America,Boruca,290
bosnian,185,bos,bos,43,18,Eurasia,Bosnian,37
bozotigemaxo,292,boz,boz,15,-4,Africa,Bozo (Tigemaxo),867
brahui,150,brh,brh,28.5,67,Eurasia,Brahui,2412
brao,63,bra,brb,14.16666667,107.5,Eurasia,Brao,1827
breton,187,bre,bre,48,-3,Eurasia,Breton,2299
bribri,123,bri,bzd,9.416666667,-83,North America,Bribri,2310
britishsignlanguage,330,bsl,bfi,52,-1,Eurasia,British Sign Language,291
broken,331,bro,tcs,-10.16666667,143,Australia,Broken,918
brokskat,182,bkt,bkk,35.33333333,76.5,Eurasia,Brokskat,1161
brueastern,72,bru,bru,17.33333333,106,Eurasia,Bru (Eastern),38
bruwestern,72,brw,brv,16.75,104.75,Eurasia,Bru (Western),1220
bubi,274,bub,bvb,3.5,8.666666667,Africa,Bubi,919
budu,274,bdu,buu,2,28,Africa,Budu,2594
budukh,267,bdk,bdk,41.16666667,48.41666667,Eurasia,Budukh,785
buduma,5,bud,bdm,13.5,14.5,Africa,Buduma,1991
bugis,525,bug,bug,-4,120,Papunesia,Bugis,1298
buglere,122,bgl,sab,8.5,-81.25,North America,Buglere,660
bugun,374,bgn,,27.5,92.58333333,Eurasia,Bugun,1063
buin,152,bun,buo,-6.75,155.75,Papunesia,Buin,973
bujeba,274,buj,nmg,3,10.16666667,Africa,Bujeba,292
bukusu,274,buk,bxk,0.75,34.66666667,Africa,Bukusu,518
bularnu,559,bnu,,-21,138,Australia,Bularnu,1162
bulgarian,185,bul,bul,42.5,25,Eurasia,Bulgarian,2357
buliinghana,290,buy,bwu,10.5,-1.25,Africa,Buli (in Ghana),39
